Unnamed: 0,Nombre,Provincia,Zona,Zona Unificada,Web,Tienda,Tech Stack,Grupo,Mercado Fuerte,% de Exportación,B2B,Vol. Anual (L),Tamaño,Líneas,ETIQ.
1,4 Gatos Locos,Mendoza,Gualtallary,Tupungato,4gatoslocos.com.ar,No tiene,No aplica,Indep.,Mza,5%,DTC,18.000,Proyecto,1.0,4.0
2,A16,Mendoza,Perdriel,Luján de Cuyo,a16sa.com,a16sa.com/tienda-a16,WooCommerce,Indep.,Arg,15%,Nac,450.000,Mediana,4.0,18.0
3,Abito Wines,Mendoza,Barrancas,Maipú,abitowines.com,gruposalute.com,WixCommerce,Indep.,Arg,10%,Nac,120.000,Boutique,3.0,14.0
4,ABRAHAM CURA BADIN SA,Mendoza,Fray Luis Beltrán,Maipú,abrahamwines.com/es/home-es/,No tiene,No aplica,Indep.,Arg,15%,Nac,800.000,Mediana,5.0,28.0
5,Abremundos,Mendoza,Los Chacayes,Tunuyán,abremundos.com.ar,abremundos.com.ar,Jumpseller,Indep.,Mza,10%,Bout,25.000,Proyecto,2.0,6.0
6,Achaval-Ferrer,Mendoza,Perdriel,Luján de Cuyo,achaval-ferrer.com,tienda.achaval-ferrer.com,Shopify,Indep.,Ext,65%,Intl,600.000,Mediana,4.0,22.0
7,Alandes de Karim Mussi,Mendoza,La Consulta,San Carlos,karimmussi.com,No tiene,No aplica,Indep.,Arg/Ext,35%,Bout,90.000,Boutique,3.0,12.0
8,Alba en los Andes,Mendoza,Gualtallary,Tupungato,albaenlosandes.com,albaenlosandes.com/tienda,WooCommerce,Indep.,Arg,15%,Reg,75.000,Boutique,2.0,8.0
9,Albaflor (Altos de Altamira),Mendoza,Vista Flores,Tunuyán,albaflor.com.ar,No tiene,No aplica,Indep.,Mza,5%,DTC,15.000,Proyecto,1.0,3.0
10,Alfredo Roca,Mendoza,Cañada Seca,San Rafael,rocawines.com/es,tienda-rocawines.com,Shopify,Indep.,Arg,25%,Nac,1.200.000,Mediana,6.0,32.0
11,ALGARROBO WINES S.A.,Mendoza,Los Barriales,Junín,algarrobowines.com/,algarrobowines.mitiendanube.com,Tiendanube,Indep.,Arg,10%,Nac,3.500.000,Grande,8.0,48.0
12,Algodon Wine Estates,Mendoza,Cuadro Benegas,San Rafael,algodonwines.com.ar,algodonwines.com.ar,Shopify,Indep.,Ext,50%,Bout,150.000,Boutique,3.0,15.0
13,Alpamanta,Mendoza,Ugarteche,Luján de Cuyo,alpamanta.com,No tiene,No aplica,Indep.,Arg,20%,Nac,200.000,Boutique,4.0,16.0
14,Alpasión,Mendoza,Los Chacayes,Tunuyán,alpasion.com,shop.alpasion.com,WooCommerce,Indep.,Ext,60%,Intl,180.000,Boutique,3.0,14.0
15,Alta Vista,Mendoza,Chacras de Coria,Luján de Cuyo,altavistawines.com,tienda.altavistawines.com,Tiendanube,Indep.,Arg/Ext,45%,Intl,2.100.000,Grande,7.0,40.0
16,Alta Yarí,Mendoza,Gualtallary,Tupungato,bodegaaltayari.com,No tiene,No aplica,Indep.,Arg,20%,Nac,120.000,Boutique,3.0,12.0
17,Altar Uco,Mendoza,Gualtallary,Tupungato,altaruco.com/,altaruco.com/shop,WooCommerce,Indep.,Arg,10%,Reg,30.000,Proyecto,2.0,7.0
